	actor	event_count	event_count_log
165	Habbie	21797	4.3383967241962615
166	alexcrichton	21585	4.334152052992287
167	willdurand	21326	4.3289094048711885
168	gavinking	21290	4.328175661438323
169	michaelklishin	21287	4.328114460158389
170	rsdnru	21098	4.32424128799287
171	Ocramius	21083	4.323932408757994
172	Ratmir15	21063	4.323520227754337
173	demobox	20905	4.320250171886434
174	reduxionist	20818	4.318439004200192
175	jreback	20797	4.318000691817921
176	scala-jenkins	20752	4.317059958740005
177	steveklabnik	20727	4.316536447403556
178	mikemcquaid	20685	4.315655525231531
179	minrk	20661	4.315151337704982
180	nhcrpmsync	20561	4.313044233082023
181	wjwwood	20546	4.312727283778123
182	kou	20528	4.312346639030853
183	vmware-ac-gerrit	20518	4.312135025479961
184	circle-test-organization	20434	4.3103533890449945
185	shantanusharma	20170	4.304705898212766
186	shiftkey-tester	20134	4.303930064275368
187	XhmikosR	19895	4.298743943482407
188	PixieCode	19817	4.29703790937936
189	boegel	19756	4.29569901748951
190	Borkason	19731	4.2951490965789185
191	romainneutron	19661	4.293605603192818
192	nexedi	19632	4.292964545382929
193	dstockwell	19524	4.290568798984483
194	exo-swf	19499	4.290012339279541
195	astrofrog	19358	4.286860485522373
196	Seldaek	19352	4.286725855353823
197	markstory	19243	4.284272779857726
198	kripken	19228	4.283934113456609
199	gnudeep	19226	4.283888937976056
200	paulmillr	19212	4.2835725779669245
201	alma-dev	19195	4.283188116453424
202	geometryzen	19134	4.281805769626603
203	bikesharebot	19087	4.280737673504682
204	bootstraponline	19040	4.279666944048455
205	ashking	19015	4.279096329747602
206	sethvargo	19011	4.279004961844902
207	moovops	18979	4.2782733257981675
208	kuduautomation	18911	4.2767144946302915
209	timmmmyboy	18894	4.276323911020188
210	sbezborotest	18884	4.276093991759217
211	kisg	18864	4.275633787751014
212	axelstudios	18618	4.269933025967809
213	kaizhu256	18606	4.26965301662097
214	nicolaasmatthijs	18368	4.26406187071788
215	wladich	18366	4.264014579980978
216	houndci	18338	4.2633519683935654
217	greatfire	18260	4.26150077319828
218	mitchellh	18137	4.258565453000082
219	markjaquith	18107	4.257846501591155
220	mattn	18083	4.257270482298884
221	badwolf9	18068	4.256910081889356
222	AsteroidTrackerUpdateSystem	18002	4.255320757365109
223	jrmarino	17983	4.254862144280603
224	richardkchapman	17975	4.25466889905492
225	bigeasy	17921	4.253362239833068
226	balupton	17897	4.252780238095084
227	stefanpenner	17892	4.252658889500619
228	bl-test-account	17778	4.249882901863694
229	leofeyer	17776	4.249834041596793
230	v8	17736	4.248855680106431
231	ddelbondio	17735	4.248831192807962
232	timrdf	17643	4.2465724341217
233	dscho	17569	4.24474704283614
234	idor	17568	4.244722322769998
235	ktf	17518	4.243484522006458
236	davidfowl	17501	4.2430628648048065
237	dumganhar	17491	4.24281463978553
238	nbp	17477	4.2424668862353405
239	normanmaurer	17476	4.242442036037531
240	JakeWharton	17447	4.241720761068594
241	addyosmani	17447	4.241720761068594
242	hrydgard	17425	4.241172786770047
243	pippinsplugins	17424	4.2411478624117
244	parkr	17423	4.24112293662285
245	ns-buildbot	17373	4.2398748196530365
246	embedthis	17354	4.239399593115787
247	Shougo	17340	4.239049093140191
248	jseabold	17298	4.237995892771852
249	spurious	17229	4.236260071000829
250	gijzelaerr	17190	4.235275876687052
251	galthaus	17149	4.234238800347066
252	aleafs	17128	4.233706654286382
253	liewegas	17111	4.233275391293944
254	jelovirt	16999	4.2304233738926404
255	joshmoore	16967	4.229605059841376
256	niceaji	16927	4.22857999420492
257	planetsympy2	16842	4.226393663018083
258	Ponce	16825	4.2259550728960145
259	test8590	16807	4.225490200071284
260	wikkawik	16788	4.224998960539453
261	jfarcand	16786	4.2249472187770865
262	qtproject	16780	4.224791956492681
263	sferik	16757	4.22419626966024
264	numpy-gitbot	16726	4.223392092448771
265	domenic	16695	4.222586423390389
266	joamag	16634	4.220996697147369
267	cordoval	16513	4.217825980899852
268	mrdoob	16511	4.217773377401495
269	dvcsconnectortest	16499	4.21745762253858
270	twinaphex	16477	4.216878141702857
271	csjaba	16415	4.215240887065359
272	myronmarston	16303	4.212267528548938
273	crynobone	16286	4.211814430456818
274	cognovis	16140	4.2079035303860515
275	irrationalfab	16122	4.207418916816812
276	unknownbrackets	16096	4.206717963375834
277	yurydelendik	16087	4.206475061816686
278	snoyberg	16084	4.2063940644308735
279	maandree	16021	4.2046896204203605
280	tfoote	16009	4.2043642046210055
281	indutny	15997	4.204038544805531
282	9rnsr	15983	4.203658299456246
283	papti247	15930	4.202215775801132
284	mdo	15922	4.201997619583105
285	jspahrsummers	15902	4.201451749121719
286	mattt	15893	4.201205883391792
287	juliocamarero	15864	4.200412701197246
288	sieste	15787	4.1982996089676865
289	TestCaTissue	15772	4.197886768401186
290	tlevine	15764	4.197666426193566
291	ueshin	15762	4.197611323169713
292	aaaajunk	15754	4.197390841133298
293	Raynos	15736	4.1968943469112805
294	kunstmusik	15612	4.193458542609211
295	cowtowncoder	15575	4.192428055331207
296	JeffBezanson	15549	4.191702463559194
297	pombredanne	15549	4.191702463559194
298	ralphbean	15528	4.191115522380306
299	parndt	15489	4.190023379766885
300	mikejolley	15486	4.189939254927513
301	willkg	15456	4.189097109071418
302	rande	15404	4.187633509950693
303	sharyanto	15344	4.185938589826589
304	geemus	15322	4.1853154580036565
305	strk	15308	4.184918453552462
306	cvrebert	15256	4.1834406800379496
307	jancborchardt	15234	4.182813951257366
308	czue	15222	4.182471717605375
309	mnbvcv	15195	4.181700704415961
310	sstjohn	15194	4.181672122068266
311	php-pulls	15161	4.180727847744507
312	s0undt3ch	15158	4.180641902729832
313	rkh	15086	4.178574103379925
314	FroMage	15064	4.177940307008608
315	slandelle	15036	4.1771323170417745
316	smichr	14983	4.175598779518376
317	anirudhSK	14981	4.175540804016768
318	konklone	14961	4.174960622938025
319	andymckay	14955	4.174786417367337
320	danberindei	14952	4.174699288370776
321	21warrior	14942	4.174408732073122
322	bos	14909	4.173448514744314
323	GrahamCampbell	14895	4.173040507551063
324	amrav	14877	4.172515363010772
325	dcramer	14820	4.17084820364331
326	KohaAloha	14820	4.17084820364331
327	runningforworldpeace	14816	4.170730969337859
328	nctmonitor	14775	4.1695274895532926
329	aheritier	14762	4.169145200991198
330	mvl22	14758	4.169027506008932
331	kennethreitz	14718	4.167848798590029
332	StefanKarpinski	14698	4.167258243043628
333	mdboom	14644	4.165659720209494
334	njx	14626	4.165125569088229
335	natecavanaugh	14600	4.164352855784437
336	scribu	14570	4.16345955176999
337	jtesser	14559	4.163131546034948
338	cheapproductsol	14531	4.162295502772753
339	purcell	14510	4.161667412437736
340	carlosantoniodasilva	14496	4.161248180332738
341	liginet	14461	4.160198326116569
342	qiangxue	14453	4.159958002678519
343	hhuijser	14453	4.159958002678519
344	xtraeme	14451	4.159897901034096
345	okunishinishi	14416	4.158844773634987
346	bbatsov	14414	4.158784517723423
347	dhacker29	14381	4.157789086282049
348	scopatz	14250	4.153814864344529
349	chillu	14220	4.152899596393747
350	node-migrator-bot	14214	4.152716311106409
351	aclark4life	14150	4.150756439860309
352	graemeg	14147	4.150664353529561
353	shane-tomlinson	14142	4.150510832907967
354	Clementine-Issue-Importer	14091	4.148941814902911
355	zenorocha	14087	4.148818514602018
356	jrburke	14008	4.14637613307539
357	randx	14002	4.146190073315927
358	Pomax	13980	4.145507171409663
359	yiminghe	13968	4.1451342263614945
360	timdream	13960	4.144885418287142
361	samdark	13933	4.14404463711095
362	octokit-net-test	13917	4.143545627238422
363	sic	13915	4.143483210670062
364	Maks3w	13902	4.14307728417362
365	whimboo	13878	4.142326883154263
366	PKRoma	13804	4.140004950619449
367	amueller	13793	4.139658736208178
368	nschonni	13791	4.139595758469972
369	cesine	13787	4.13946977558943
370	danielrobbins	13771	4.138965478289827
371	koenkooi	13720	4.137354111370733
372	jcfr	13715	4.137195811940548
373	kytrinyx	13683	4.1361813269606005
374	openhab-migration	13617	4.134081437462512
375	pjcozzi	13613	4.133953844517957
376	rabbitmq-github	13576	4.132771829309619
377	dankamongmen	13565	4.132419798097615
378	Mailaender	13554	4.132067481304007
379	mythz	13530	4.131297796597623
380	VictorLowther	13530	4.131297796597623
381	DamonOehlman	13519	4.130944568044679
382	jmarshallnz	13512	4.130719636562953
383	pdfjsbot	13481	4.129722108695877
384	LaurentGoderre	13461	4.129077324252736
385	jcoyne	13445	4.12856080655932
386	durran	13423	4.127849590187638
387	Nephyrin	13412	4.127493544756782
388	skirpichev	13395	4.126942717944227
389	mistydemeo	13374	4.1262613188638815
390	lmr	13371	4.126163888805839
391	TooTallNate	13321	4.124536828301277
392	Di0gen	13310	4.124178055474675
393	bp323	13304	4.123982236211463
394	LorDClockaN	13299	4.123818986018997
395	tychoish	13298	4.123786328615372
396	laanwj	13278	4.123132664310901
397	elemoine	13273	4.122969094393747
398	d3stats	13270	4.122870922864435
399	thestinger	13270	4.122870922864435
400	markdotto	13232	4.121625492208471
401	mbostock	13207	4.120804177840798
402	jdalton	13149	4.118892725373621
403	badlogic	13148	4.118859695409586
404	rgrp	13147	4.11882666293329
405	twolfson	13124	4.1180662217140105
406	sylus	13121	4.117966935491767
407	SirCmpwn	13121	4.117966935491767
408	RobertCNelson	13096	4.117138666403885
409	philips	13044	4.115410790133919
410	sternk	13035	4.115111035504348
411	domcleal	13027	4.114844413145024
412	bf4	13025	4.114777731971562
413	bstansberry	13022	4.114677691010878
414	hadley	13005	4.114110356531891
415	das7878	13005	4.114110356531891
416	dannyroberts	12992	4.1136760118971
417	rlr	12973	4.11304041808782
418	marijnh	12957	4.112504458767161
419	mangband	12901	4.110623375233331
420	FooBarWidget	12892	4.110320296840297
421	avoidwork	12887	4.110151828518272
422	dnschnur	12869	4.109544800878346
423	galderz	12856	4.109105863755288
424	the-pastry-box-project	12791	4.106904498935643
425	mattbasta	12777	4.106428894793411
426	ForbesLindesay	12747	4.105407985809177
427	bcipolli	12735	4.104998949299634
428	agramfort	12707	4.104043029922009
429	t3dev	12704	4.1039404850830214
430	h-nuschke	12692	4.103530063428375
431	Anahkiasen	12690	4.103461622094705
432	nthiebaud	12674	4.102913702789221
433	shama	12673	4.102879434869378
434	nijel	12660	4.102433705681336
435	samoht	12641	4.101781431327967
436	andrerod	12640	4.101747073946366
437	travp624	12628	4.101334573220179
438	peterflynn	12588	4.099956734241183
439	adriaanm	12584	4.0998187096152305
440	sigmavirus24	12583	4.0997841966035775
441	rjackson	12574	4.099473456014168
442	daleharvey	12572	4.099404372345543
443	teusbenschop	12538	4.09822826550294
444	sbesson	12536	4.098158983460534
445	drnic	12533	4.0980550396692434
446	ansell	12532	4.098020386209668
447	BenediktSeidl	12486	4.096423330595271
448	waneck	12480	4.096214585346405
449	onyxfish	12468	4.095796793604802
450	wagenet	12467	4.0957619594775005
451	viktorklang	12467	4.0957619594775005
452	jzaefferer	12463	4.095622595021622
453	calvinmetcalf	12459	4.095483185829541
454	RuudBurger	12444	4.0949600024366655
455	dagolden	12440	4.0948203803548
456	IgorMinar	12431	4.094506066454455
457	weaverryan	12423	4.09422648522204
458	redmunds	12393	4.093176449696249
459	dalehenrich	12390	4.093071306376063
460	vingtetun	12386	4.092931075673553
461	taolee	12379	4.092685562937491
462	jbuck	12317	4.090504941424044
463	tierra	12308	4.090187487575421
464	lefnire	12299	4.089869801509552
465	jjsantos	12295	4.089728533074736
466	peterbe	12269	4.088809166461293
467	130s	12261	4.088525892431256
468	substack	12246	4.087994255099714
469	alloy	12221	4.087106744099093
470	patriknw	12191	4.086039331268039
471	cloudbees-pull-request-builder	12172	4.085361943686129
472	lightsofapollo	12103	4.08289303328818
473	tarekziade	12093	4.082534052872713
474	Christi	12091	4.08246222116863
475	slimgerrit	12081	4.082102884327094
476	amitaibu	12061	4.0813833174622856
477	alexanderdean	12054	4.081131187131893
478	Diapolo	12029	4.080229524884867
